key,reason,record_type,source
ETH/USDT/303011479,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/303011480,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/303341831,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/303532438,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/303532439,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/303538852,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/303538853,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/303891686,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/304695574,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/304695576,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/304695577,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/304696469,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/304696470,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/305126816,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/305126833,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/305250676,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/305250680,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/305321060,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/305601956,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
ETH/USDT/305846309,UNMANAGED_EXTERNAL_OR_LEGACY,exchange_fill,Binance userTrades
